2,3,04-118-25,2025,GMC,SIERRA,White,1GT4UREY4SF102703,74000.0,58910.0,0.0,0.0,199.0,7530.0,74000.0,7361.0,66639.0,74000.0,0.0,5/13/25,,0.0
2,4,03-359-25,2018,Ford,F150,White,1FTEW1E5S9JKF1567,19000.0,14030.0,0.0,0.0,199.0,3884.0,19000.0,887.0,18113.0,19000.0,0.0,5/13/25,,0.0
2,5,04-272-25,2017,Cadillac,ESCALADE,Blue,1GYS4CKJXHR172901,27500.0,25785.0,0.0,0.0,199.0,1260.0,27500.0,256.0,27244.0,27500.0,0.0,5/13/25,,0.0
2,6,04-253-25,2022,Chevrolet,COLORADO,Black,1GCHSCEA4N1150520,16500.0,14370.0,0.0,0.0,199.0,911.0,16500.0,1020.0,15480.0,16500.0,0.0,5/13/25,,0.0
3,1,04-251-25,2022,Chevrolet,COLORADO,Gray,1GCHSCEASN1181128,13500.0,11570.0,0.0,0.0,199.0,859.0,13500.0,872.0,12628.0,13500.0,0.0,5/13/25,,0.0
3,2,04-209-25,1999,Mercedes-Benz,SL,Red,WDBFA76F7XF172902,12875.0,10910.0,0.0,0.0,199.0,488.0,12875.0,1278.0,11597.0,12875.0,0.0,5/13/25,MANHEIM NASHVILLE,0.0
3,3,04-226-25,2018,Ford,EXPLORER,Black,1EM5K7FH5JGC02701,18000.0,15045.0,0.0,0.0,199.0,1598.0,18000.0,1158.0,16842.0,18000.0,0.0,5/13/25,,0.0
3,4,04-055-25,2018,Subaru,CROSSTREK,Blue,JF2GTALC1J8231995,10550.0,6850.0,0.0,0.0,199.0,1282.0,10550.0,2219.0,8331.0,10550.0,0.0,5/14/25,,0.0
3,5,01-047-25,2021,Kia,SPORTAGE,Black,KNDPMCAC6M7919642,6250.0,6200.0,0.0,0.0,0.0,50.0,6250.0,0.0,6250.0,6250.0,0.0,5/14/25,,0.0
3,6,04-045-25,2020,Acura,MDX,White,5J8YD4H52LL056105,23400.0,21125.0,0.0,0.0,199.0,2094.0,23400.0,-18.0,23418.0,23400.0,0.0,5/15/25,,0.0
1,1,04-191-25,2020,Buick,ENCORE,Black,KL4CJASB8LB054972,8900.0,6345.0,0.0,0.0,199.0,1755.0,8900.0,601.0,8299.0,8900.0,0.0,6/05/25,,0.0
1,2,03-360-25,2020,Chevrolet,EQUINOX,Blue,2GNAXKEV3L6210790,10400.0,7735.0,0.0,0.0,199.0,3104.0,10400.0,-638.0,11038.0,10400.0,0.0,6/05/25,,0.0
1,3,04-235-25,2015,Chevrolet,EQUINOX,White,2GNALBEK1F6304317,5900.0,4805.0,0.0,0.0,199.0,1554.0,5900.0,-658.0,6558.0,5900.0,0.0,6/05/25,,0.0
1,4,05-311-25,2023,Chevrolet,SILVERADO 1500,B,3GCUDDED8PG347610,35400.0,33260.0,0.0,0.0,199.0,1880.0,35400.0,61.0,35339.0,35400.0,0.0,6/05/25,,0.0
1,5,03-211-25,2021,Chevrolet,TRAVERSE,Silver,1GNERFKWXMJ190526,18900.0,11006.0,0.0,0.0,199.0,4753.0,18900.0,2942.0,15958.0,18900.0,0.0,6/05/25,,0.0
1,6,05-278-25,2018,Chevrolet,TRAVERSE,Gray,1GNERKKW8JJ221857,12690.0,10606.0,0.0,0.0,199.0,1478.0,12690.0,407.0,12283.0,12690.0,0.0,6/05/25,,0.0
2,1,05-321-25,2022,Dodge,CHALLENGER,Red,2C3CDZJG6NH143544,23775.0,21120.0,0.0,0.0,199.0,1526.0,23775.0,930.0,22845.0,23775.0,0.0,6/05/25,,0.0
2,2,05-344-25,2022,Ford,EDGE,Silver,2EMPK4K93NBA81363,13500.0,10170.0,0.0,0.0,199.0,581.0,13500.0,2550.0,10950.0,13500.0,0.0,6/05/25,,0.0
