Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price,Price_Range
40,9-0509,68446,2017,Dodge,Journey,SXT,SILVER,151316,Yes,0.0,2026-04-29,9,650.0,$501-750
7,9-0618,70253,2014,Chevrolet,Cruze,1LT,GREEN,136419,Yes,,2026-04-29,9,650.0,$501-750
51,3-0094,69854,2015,Jeep,Patriot,Sport,BLACK,237597,Yes,1.3,2026-04-29,3,600.0,$501-750
43,3-0095,69553,2016,Nissan,Altima,2.5 SV,BLUE,251638,Yes,1.3,2026-04-29,3,600.0,$501-750
33,9-0526,69251,2012,Mazda,Mazda6,i Sport,GRAY,246371,Yes,0.0,2026-04-29,9,600.0,$501-750
4,5-0200,70655,2002,Isuzu,Trooper,S,WHITE,157433,Yes,,2026-04-29,5,600.0,$501-750
28,9-0622,70432,2013,Dodge,Dart,Limited,BLACK,93373,Yes,2.3,2026-04-29,9,600.0,$501-750
7,9-0621,70975,2013,Ford,Taurus,Limited,RED,1,Yes,,2026-04-29,9,600.0,$501-750
21,9-0601,71303,2019,Chevrolet,Trax,LT,WHITE,1,Yes,3.5,2026-04-29,9,550.0,$501-750
27,9-0544,69298,2015,Hyundai,Sonata,2.4L Sport,SILVER,168259,Yes,1.0,2026-04-29,9,550.0,$501-750
40,2-0016,71333,2012,Hyundai,Santa Fe,GLS,RED,217609,Yes,2.0,2026-04-29,2,550.0,$501-750
28,9-0512,69397,2014,Buick,Verano,Convenience Group,BLACK,162394,Yes,0.0,2026-04-29,9,550.0,$501-750
22,9-0523,69321,2015,Buick,Verano,Convenience Group,WHITE,189053,Yes,0.0,2026-04-29,9,550.0,$501-750
6,9-0600,70981,2011,Jeep,Grand Cherokee,Laredo,GRAY,1,Yes,,2026-04-29,9,500.0,$0-500
5,9-0561,71633,2009,Chevrolet,Impala,3.9L LT,RED,204664,Yes,,2026-04-29,9,500.0,$0-500
30,9-0522,69340,2015,Chevrolet,Equinox,LS,BLACK,188935,Yes,0.0,2026-04-29,9,500.0,$0-500
34,9-0513,67747,2014,Chevrolet,Cruze,2LT,RED,163172,Yes,0.0,2026-04-29,9,500.0,$0-500
18,2-0087,71509,2008,Dodge,Caliber,SXT,SILVER,210961,Yes,,2026-04-29,2,500.0,$0-500
26,9-0550,70078,2013,Nissan,Rogue,SL,WHITE,183050,Yes,1.2,2026-04-29,9,500.0,$0-500
36,4-0071,70351,2017,Nissan,Sentra,S,GRAY,132682,Yes,1.3,2026-04-29,4,500.0,$0-500
26,2-0019,71322,2016,Ford,Focus,SE,RED,126379,Yes,3.8,2026-04-29,2,500.0,$0-500
