Stock Number,Year_presale,Make_presale,Model_presale,Mileage,Grade_presale,Run Number_presale,Lane_presale
70999,2012,Buick,LaCrosse,158974,,1-0002,1
70375,2008,Jeep,Wrangler,273066,2.6,1-0003,1
70998,2015,Chevrolet,Suburban,231585,3.0,1-0009,1
71097,2017,Cadillac,Escalade,177493,3.9,1-0024,1
71575,2011,Nissan,Maxima,169292,,1-0035,1
71258,2012,Ford,F150,278782,1.9,1-0036,1
71621,2011,Dodge,Grand Caravan,169889,,1-0040,1
71622,2008,Lincoln,Town Car,154210,,1-0041,1
71573,2014,Kia,Forte,147118,,1-0044,1
71574,2009,Ford,F250SD,202538,,1-0046,1
71619,2013,Ford,Fusion,86147,3.7,1-0048,1
71630,2019,Nissan,Altima,129171,2.5,1-0049,1
71632,2019,Cadillac,Escalade,155071,2.5,1-0050,1
71648,2011,Mercedes-Benz,S Class,80682,4.4,1-0055,1
66026,2020,GMC,Sierra 1500,138937,3.6,1-0060,1
69778,2014,Ford,Escape,119923,,1-0061,1
70967,2015,Audi,Q5,131494,3.8,1-0066,1
70644,2013,Cadillac,SRX,217961,,1-0067,1
71245,2014,Nissan,Pathfinder,140667,4.4,1-0068,1
71505,2012,Mitsubishi,Galant,176335,,1-0083,1
70236,2019,Dodge,Grand Caravan,171633,,1-0084,1
71238,2014,Toyota,Corolla,181085,2.0,1-0085,1
69189,2018,Ford,F150,125132,2.3,1-0087,1
71211,2010,Lexus,GS 450h,175171,2.0,1-0088,1
70703,2015,Chrysler,Town & Country,143648,,1-0089,1
71493,2020,Ford,S/D C/C,155650,3.7,10-0003,10
71643,2024,Honda,HR-V,33452,3.3,10-0004,10
71569,2024,Ford,Escape,33937,4.2,10-0011,10
71566,2020,Chevrolet,Silverado 1500,50520,4.4,10-0012,10
71567,2024,Chevrolet,Silverado 1500,13938,4.8,10-0013,10
71563,2013,Acura,TL,126832,3.5,10-0015,10
69863,2020,Jeep,Renegade,51538,3.5,10-0017,10
70608,2020,Chevrolet,Tahoe,119342,3.9,10-0020,10
71320,2014,Toyota,Tacoma,125110,2.6,2-0012,2
70416,2018,Chevrolet,Silverado 1500,1,3.7,2-0022,2
71468,2017,Volvo,XC90,102707,2.4,2-0026,2
71469,2016,Toyota,Sienna,183896,,2-0029,2
71467,2019,Ford,Edge,106569,3.7,2-0030,2
71655,2019,GMC,Yukon,197776,,2-0033,2
71352,2020,Nissan,Altima,119961,1.5,2-0042,2
