Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price,upload_date,auction
33,3-0076,69885,2014,Chevrolet,Impala Limited,LT,BLACK,89406,Yes,3.1,2026-04-29,3,3000.0,2026-04-29 11:41:52,UAX Memphis
27,3-0039,70338,2024,Chevrolet,Malibu,LT,GRAY,30382,Yes,4.2,2026-04-29,3,18200.0,2026-04-29 11:41:52,UAX Memphis
20,4-0013,71540,2019,Chevrolet,Malibu,LS,SILVER,149261,Yes,4.1,2026-04-29,4,5400.0,2026-04-29 11:41:52,UAX Memphis
32,3-0055,66008,2019,Chevrolet,Malibu,LT,WHITE,133913,Yes,2.9,2026-04-29,3,5000.0,2026-04-29 11:41:52,UAX Memphis
26,9-0514,69469,2018,Chevrolet,Malibu,LT,SILVER,165106,Yes,0.0,2026-04-29,9,2400.0,2026-04-29 11:41:52,UAX Memphis
21,2-0006,61702,2017,Chevrolet,Malibu,LS,SILVER,153455,Yes,3.8,2026-04-29,2,3600.0,2026-04-29 11:41:52,UAX Memphis
28,9-0603,71304,2016,Chevrolet,Malibu,LT,GRAY,168349,Yes,1.6,2026-04-29,9,1050.0,2026-04-29 11:41:52,UAX Memphis
20,4-0201,71545,2016,Chevrolet,Malibu,LT,BLUE,86688,Yes,3.8,2026-04-29,4,7000.0,2026-04-29 11:41:52,UAX Memphis
27,2-0027,71470,2014,Chevrolet,Malibu,LT,BLACK,169308,Yes,3.6,2026-04-29,2,3100.0,2026-04-29 11:41:52,UAX Memphis
0,6-0008,71480,2023,Chevrolet,Silverado 1500,LT Trail Boss,WHITE,93416,Yes,,2026-04-29,6,30000.0,2026-04-29 11:41:52,UAX Memphis
18,2-0034,71656,2021,Chevrolet,Silverado 1500,LT Trail Boss,WHITE,161995,Yes,,2026-04-29,2,21000.0,2026-04-29 11:41:52,UAX Memphis
21,10-0008,71558,2024,Chevrolet,Silverado 2500,2500HD LT,WHITE,43126,Yes,4.6,2026-04-29,10,47500.0,2026-04-29 11:41:52,UAX Memphis
28,5-0088,68040,2016,Chevrolet,Sonic,LT,GRAY,130490,Yes,3.1,2026-04-29,5,1000.0,2026-04-29 11:41:52,UAX Memphis
28,3-0062,69372,2021,Chevrolet,Tahoe,LT,GRAY,93337,Yes,1.9,2026-04-29,3,26400.0,2026-04-29 11:41:52,UAX Memphis
35,5-0041,71062,2019,Chevrolet,Tahoe,LS,BLACK,120858,Yes,3.6,2026-04-29,5,14600.0,2026-04-29 11:41:52,UAX Memphis
29,9-0557,70402,2017,Chevrolet,Tahoe,LS,BLUE,138872,Yes,0.0,2026-04-29,9,6800.0,2026-04-29 11:41:52,UAX Memphis
0,6-0003,71411,2017,Chevrolet,Tahoe,Premier,BLACK,121474,Yes,,2026-04-29,6,19500.0,2026-04-29 11:41:52,UAX Memphis
17,1-0054,71577,2002,Chevrolet,Tahoe,Z71,BLACK,1,Yes,,2026-04-29,1,1500.0,2026-04-29 11:41:52,UAX Memphis
18,2-0079,71583,2017,Chevrolet,Traverse,LT,BLUE,119144,Yes,3.7,2026-04-29,2,4050.0,2026-04-29 11:41:52,UAX Memphis
43,3-0079,67993,2021,Chevrolet,Trax,LS,BLACK,95286,Yes,1.5,2026-04-29,3,3300.0,2026-04-29 11:41:52,UAX Memphis
33,3-0081,69485,2020,Chevrolet,Trax,LS,SILVER,103339,Yes,1.4,2026-04-29,3,2800.0,2026-04-29 11:41:52,UAX Memphis
21,9-0601,71303,2019,Chevrolet,Trax,LT,WHITE,1,Yes,3.5,2026-04-29,9,550.0,2026-04-29 11:41:52,UAX Memphis
21,9-0538,69551,2016,Chevrolet,Trax,LS,BLACK,118057,Yes,1.2,2026-04-29,9,750.0,2026-04-29 11:41:52,UAX Memphis
26,9-0555,66872,2016,Chrysler,200,S,GRAY,147426,Yes,1.3,2026-04-29,9,700.0,2026-04-29 11:41:52,UAX Memphis
42,3-0012,67541,2015,Chrysler,200,C,BLUE,180463,Yes,1.3,2026-04-29,3,1200.0,2026-04-29 11:41:52,UAX Memphis
31,3-0017,68495,2015,Chrysler,200,Limited,WHITE,94423,Yes,1.8,2026-04-29,3,1500.0,2026-04-29 11:41:52,UAX Memphis
15,9-0626,62153,2015,Chrysler,200,Limited,BLACK,1,Yes,,2026-04-29,9,450.0,2026-04-29 11:41:52,UAX Memphis
7,5-0055,71687,2011,Chrysler,200,Touring,BLACK,123454,Yes,,2026-04-29,5,1200.0,2026-04-29 11:41:52,UAX Memphis
34,3-0031,67027,2019,Chrysler,300,Limited,WHITE,93714,Yes,2.0,2026-04-29,3,5400.0,2026-04-29 11:41:52,UAX Memphis
34,3-0097,70503,2018,Chrysler,300,300S,GRAY,144806,Yes,2.8,2026-04-29,3,6500.0,2026-04-29 11:41:52,UAX Memphis
0,16-0001,71691,2022,Chrysler,Pacifica,,,24317,No,,2026-04-29,16,34492.0,2026-04-29 11:41:52,UAX Memphis
17,4-0078,68696,2021,Chrysler,Pacifica,Touring,SILVER,139750,Yes,1.7,2026-04-29,4,7000.0,2026-04-29 11:41:52,UAX Memphis
16,9-0501,69230,2020,Chrysler,Pacifica,Touring L,SILVER,97360,Yes,0.0,2026-04-29,9,7400.0,2026-04-29 11:41:52,UAX Memphis
26,2-0017,71338,2014,Chrysler,Town & Country,Touring,TAN,177972,Yes,3.4,2026-04-29,2,1750.0,2026-04-29 11:41:52,UAX Memphis
34,9-0507,69260,2020,Chrysler,Voyager,LX,BLUE,109861,Yes,0.0,2026-04-29,9,4000.0,2026-04-29 11:41:52,UAX Memphis
18,2-0087,71509,2008,Dodge,Caliber,SXT,SILVER,210961,Yes,,2026-04-29,2,500.0,2026-04-29 11:41:52,UAX Memphis
32,4-0068,69848,2015,Dodge,Challenger,R/T,GRAY,134573,Yes,1.3,2026-04-29,4,6700.0,2026-04-29 11:41:52,UAX Memphis
26,2-0055,71611,2019,Dodge,Charger,SXT,BLUE,90454,Yes,,2026-04-29,2,12700.0,2026-04-29 11:41:52,UAX Memphis
38,3-0032,69441,2017,Dodge,Charger,SXT,BLACK,156595,Yes,1.5,2026-04-29,3,5100.0,2026-04-29 11:41:52,UAX Memphis
52,9-0521,68747,2016,Dodge,Dart,SE,WHITE,186690,Yes,0.0,2026-04-29,9,450.0,2026-04-29 11:41:52,UAX Memphis
26,9-0549,70336,2013,Dodge,Dart,GT,ORANGE,93325,Yes,1.1,2026-04-29,9,1000.0,2026-04-29 11:41:52,UAX Memphis
28,9-0622,70432,2013,Dodge,Dart,Limited,BLACK,93373,Yes,2.3,2026-04-29,9,600.0,2026-04-29 11:41:52,UAX Memphis
48,9-0633,71184,2013,Dodge,Dart,Limited,GRAY,211898,Yes,,2026-04-29,9,650.0,2026-04-29 11:41:52,UAX Memphis
24,4-0006,71544,2018,Dodge,Grand Caravan,GT,BLACK,83177,Yes,4.3,2026-04-29,4,8500.0,2026-04-29 11:41:52,UAX Memphis
24,4-0003,71541,2017,Dodge,Grand Caravan,SXT,WHITE,114576,Yes,3.9,2026-04-29,4,6000.0,2026-04-29 11:41:52,UAX Memphis
39,3-0024,66593,2017,Dodge,Grand Caravan,SXT,GRAY,146136,Yes,1.3,2026-04-29,3,1100.0,2026-04-29 11:41:52,UAX Memphis
28,4-0088,70274,2018,Dodge,Journey,SE,GRAY,161485,Yes,2.2,2026-04-29,4,1750.0,2026-04-29 11:41:52,UAX Memphis
40,9-0509,68446,2017,Dodge,Journey,SXT,SILVER,151316,Yes,0.0,2026-04-29,9,650.0,2026-04-29 11:41:52,UAX Memphis
2,5-0039,67847,2016,Dodge,Journey,Crossroad Plus,BLACK,1,Yes,,2026-04-29,5,2000.0,2026-04-29 11:41:52,UAX Memphis
39,2-0003,71323,2010,Ford,Crown Victoria,4dr Sdn w/3.27 Axle,WHITE,1,Yes,1.9,2026-04-29,2,1250.0,2026-04-29 11:41:52,UAX Memphis
18,4-0016,71603,2004,Ford,Crown Victoria,LX,WHITE,237861,Yes,,2026-04-29,4,1400.0,2026-04-29 11:41:52,UAX Memphis
39,3-0005,69730,2014,Ford,E150 Vans,Commercial,BLACK,224674,Yes,2.1,2026-04-29,3,4000.0,2026-04-29 11:41:52,UAX Memphis
29,3-0040,68710,2019,Ford,EcoSport,S,WHITE,48905,Yes,4.4,2026-04-29,3,10700.0,2026-04-29 11:41:52,UAX Memphis
7,1-0052,71674,2017,Ford,Edge,Titanium,BLACK,121824,Yes,,2026-04-29,1,4000.0,2026-04-29 11:41:52,UAX Memphis
7,1-0059,71676,2013,Ford,Edge,Limited,RED,252037,Yes,,2026-04-29,1,1000.0,2026-04-29 11:41:52,UAX Memphis
4,2-0045,71139,2013,Ford,Edge,SEL,WHITE,155390,Yes,,2026-04-29,2,2300.0,2026-04-29 11:41:52,UAX Memphis
7,9-0594,71489,2023,Ford,Escape,Active,GRAY,95244,Yes,,2026-04-29,9,6000.0,2026-04-29 11:41:52,UAX Memphis
31,9-0548,70386,2019,Ford,Escape,S,SILVER,245645,Yes,1.6,2026-04-29,9,1000.0,2026-04-29 11:41:52,UAX Memphis
48,4-0094,70943,2017,Ford,Escape,SE,BLACK,171004,Yes,1.8,2026-04-29,4,2500.0,2026-04-29 11:41:52,UAX Memphis
28,3-0068,70242,2017,Ford,Escape,Titanium,BLACK,102532,Yes,1.9,2026-04-29,3,3200.0,2026-04-29 11:41:52,UAX Memphis
