page,box_number,stock_number,year,make,model,color,vin,price,vehicle_cost,trade_diff,buy_fee,lot_fee,added_costs,revenue,profit,total_cost,down_payment,net_financing,sale_date,dealer,commission
1,1,08-080-25,2018,Chevrolet,SILVERADO 1500,W,3GCUKSEC0JG402513,24500.0,18206.0,0.0,0.0,199.0,974.0,24500.0,5121.0,19379.0,24500.0,0.0,8/25/25,,0.0
1,2,07-303-25,2019,Chevrolet,TAHOE,Gray,1GNSCBKC3KR380721,21000.0,17182.0,0.0,0.0,199.0,2569.0,21000.0,1050.0,19950.0,21000.0,0.0,8/25/25,,0.0
1,3,07-353-25,2023,Nissan,ROGUE,Silver,5N1BT3BA3PC777851,15200.0,10055.0,0.0,0.0,199.0,4105.0,15200.0,841.0,14359.0,15200.0,0.0,8/25/25,,0.0
1,4,07-218-25,2018,Tesla,MODEL 3,Blue,5YJ3E1EB7JF112571,20800.0,17570.0,0.0,0.0,199.0,2454.0,20800.0,577.0,20223.0,20800.0,0.0,8/25/25,MANHEIM NASHVILLE,0.0
1,5,08-077-25,2023,Toyota,HIGHLANDER,White,,27800.0,24615.0,0.0,0.0,199.0,1143.0,27800.0,1843.0,25957.0,27800.0,0.0,8/25/25,MANHEIM NASHVILLE,0.0
1,6,08-095-25,2020,GMC,YUKON XL,Gray,1GKS1HKJ0LR171412,24900.0,20665.0,0.0,0.0,199.0,2479.0,24900.0,1557.0,23343.0,24900.0,0.0,8/25/25,,0.0
2,1,07-211-25,2018,Chevrolet,SILVERADO 1500,R,3GCUKSEC0JG533067,28500.0,21170.0,0.0,0.0,199.0,3364.0,28500.0,3767.0,24733.0,28500.0,0.0,8/25/25,,0.0
2,2,04-289-25,2018,Ford,EXPLORER,Red,1EMSK8HT8JGB85772,22500.0,17282.0,0.0,0.0,199.0,5803.0,22500.0,-784.0,23284.0,22500.0,0.0,8/25/25,,0.0
2,3,08-001-25,2019,Buick,ENCORE,Brown,KL4CJESB0KB886182,12400.0,7796.74,0.0,0.0,199.0,2302.0,12400.0,2102.26,10297.74,12400.0,0.0,8/25/25,,0.0
2,4,05-250-25,2015,Chevrolet,SILVERADO 2500,W,1GC1KVE80FF551805,24500.0,20755.0,0.0,0.0,199.0,3191.0,24500.0,355.0,24145.0,24500.0,0.0,8/25/25,,0.0
2,5,07-329-25,2024,Ford,F250,Gray,1FT8W2BT6REE74586,71500.0,68625.0,0.0,0.0,199.0,2092.0,71500.0,584.0,70916.0,71500.0,0.0,8/25/25,,0.0
2,6,07-205-25,2024,Genesis,GV80,Black,KMUHBDSB3RU208590,40000.0,38509.0,0.0,0.0,199.0,1322.0,40000.0,-30.0,40030.0,40000.0,0.0,8/25/25,,0.0
3,1,06-129-25,2023,Toyota,TUNDRA,Black,STEMASDB0PX093093,50200.0,48595.0,0.0,0.0,199.0,3879.0,50200.0,-2473.0,52673.0,50200.0,0.0,8/25/25,,0.0
3,2,08-053-25,2023,Chevrolet,MALIBU,Black,1G1ZC5ST8PF207304,6195.0,6195.0,0.0,0.0,0.0,50.0,6195.0,-50.0,6245.0,6195.0,0.0,8/26/25,,0.0
3,3,08-099-25,2023,Toyota,TACOMA,Blue,3TMCZSANSPM581576,37500.0,34670.0,0.0,0.0,199.0,1509.0,37500.0,1122.0,36378.0,37500.0,0.0,8/26/25,,0.0
3,4,08-156-25,2018,Volkswagen,TIGUAN,Green,3VV3B7AX0JM018199,9800.0,8765.0,0.0,0.0,199.0,295.0,9800.0,541.0,9259.0,9800.0,0.0,8/26/25,ADESA,0.0
3,5,07-331-25,2020,Chevrolet,TRAVERSE,White,1GNERFKW6LJ164021,20500.0,18775.0,0.0,0.0,199.0,1540.0,20500.0,-14.0,20514.0,20500.0,0.0,8/26/25,ADESA,0.0
3,6,08-043-25,2022,Dodge,CHARGER,White,2C3CDXBG9NH194801,19200.0,17420.0,0.0,0.0,199.0,1948.0,19200.0,-367.0,19567.0,19200.0,0.0,8/26/25,ADESA,0.0
4,1,08-151-25,2023,Honda,ODYSSEY,White,5FNRL6H63PB045049,25800.0,24225.0,0.0,0.0,199.0,645.0,25800.0,731.0,25069.0,25800.0,0.0,8/26/25,ADESA,0.0
4,2,07-180-25,2022,Chevrolet,TRAVERSE,White,1GNERGKWSNJ178176,20500.0,17480.0,0.0,0.0,199.0,1480.0,20500.0,1341.0,19159.0,20500.0,0.0,8/26/25,ADESA,0.0
4,3,08-123-25,2023,Chevrolet,EQUINOX,Black,3GNAXUEG0PL253904,15100.0,12890.0,0.0,0.0,199.0,676.0,15100.0,1335.0,13765.0,15100.0,0.0,8/26/25,ADESA,0.0
4,4,08-161-25,2020,Chevrolet,MALIBU,White,1G1ZC5ST7LF004513,13700.0,12915.0,0.0,0.0,199.0,448.0,13700.0,138.0,13562.0,13700.0,0.0,8/26/25,ADESA,0.0
4,5,08-164-25,2018,Chevrolet,TAHOE,White,1GNSCBKC2JR168519,19800.0,17055.0,0.0,0.0,199.0,1013.0,19800.0,1533.0,18267.0,19800.0,0.0,8/26/25,ADESA,0.0
4,6,08-065-25,2020,Chevrolet,SILVERADO 1500,R,3GCPWBEF7LG352630,27800.0,23295.0,0.0,0.0,199.0,2266.0,27800.0,2040.0,25760.0,27800.0,0.0,8/27/25,,0.0
5,1,08-166-25,2022,Ford,F150,White,1FTEW1ES4NFB11318,29000.0,25600.0,0.0,0.0,199.0,1238.0,29000.0,1963.0,27037.0,29000.0,0.0,8/27/25,,0.0
5,2,07-175-25,2021,Chevrolet,SILVERADO 1500,B,1GCPYCEF0MZ165456,25000.0,19080.0,0.0,0.0,199.0,4252.0,25000.0,1469.0,23531.0,25000.0,0.0,8/27/25,,0.0
5,3,08-126-25,2019,Chevrolet,TAHOE,Gray,1GNSKAEC8KR239586,18000.0,16445.0,0.0,0.0,199.0,1453.0,18000.0,-97.0,18097.0,18000.0,0.0,8/27/25,,0.0
5,4,07-334-25,2019,Chevrolet,SUBURBAN,Silver,1GNSKHKCXKR185902,17400.0,14965.0,0.0,0.0,199.0,2081.0,17400.0,155.0,17245.0,17400.0,0.0,8/27/25,,0.0
